nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
BDI TOWN HOUSE,Gn. Bahagia,Balikpapan Selatan,Bintang 3,85,170,2024,07,0,0,1.647,0,2635,"62,50"
IBIS HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2024,07,0,0,3.955,0,4805,"82,31"
SWISS BELL INN,Damai,Balikpapan Kota,Bintang 3,98,98,2024,07,0,0,3.615,0,3038,"118,99"
ZURICH HOTEL,Damai,Balikpapan Kota,Bintang 3,112,172,2024,07,0,0,2.888,0,3472,"83,18"
MAX ONE,Damai,Balikpapan Selatan,Bintang 3,115,170,2024,07,0,0,3.500,0,3565,"98,18"
HORISON SAGITA,Klandasan Ilir,Balikpapan Kota,Bintang 3,90,123,2024,07,0,0,2.261,0,2790,"81,04"
MEGA LESTARI HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,107,171,2024,07,0,0,2.402,0,3317,"72,41"
BEST INN,Gn. Bahagia,Balikpapan Selatan,Bintang 3,53,72,2024,07,0,0,0,0,1643,"0,00"
THE STAR HILL,Damai Bahagia,Balikpapan Selatan,Bintang 3,133,197,2024,07,0,0,239,0,4123,"5,80"
ROYAL SUITE HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,112,172,2024,07,0,0,504,0,3472,"14,52"
ADHIKA BAHTERA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,155,205,2024,07,0,0,507,0,4805,"10,55"
MIRAMA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,108,173,2024,07,0,0,930,0,3348,"27,78"
HER HOTEL & TRADE CENTER,Gn. Samarinda,Balikpapan Utara,Bintang 3,154,200,2024,07,0,0,0,0,4774,"0,00"
FAVE HOTEL,Damai,Balikpapan Selatan,Bintang 3,112,158,2024,07,0,0,0,0,3472,"0,00"
D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,2024,07,0,0,0,0,2511,"0,00"
THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,30,39,2024,07,0,906,763,906,930,"82,04"
MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,50,58,2024,07,21,1.504,1.525,1.525,1550,"98,39"
SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,51,56,2024,07,0,2.310,1.155,2.310,1581,"73,06"
BUANA LESTARI HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,50,58,2024,07,0,1.912,1.374,1.912,1550,"88,65"
SEPINGGAN HOTEL,Sepinggan Raya,Balikpapan Selatan,Bintang 2,32,50,2024,07,3,1.093,574,1.096,992,"57,86"
HAAI HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,38,40,2024,07,0,46,46,46,1178,"3,90"
CITY HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 2,57,76,2024,07,0,530,530,530,1767,"29,99"
MUTIARA INDAH HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,38,40,2024,07,0,0,0,0,1178,"0,00"
D'PRIMA MT HARYONO,Damai,Balikpapan Kota,Bintang 2,112,112,2024,07,0,0,0,0,3472,"0,00"
AIQO,Klandasan Ilir,Balikpapan Kota,Bintang 1,51,57,2024,07,0,939,751,939,1581,"47,50"
BINTANG HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,68,68,2024,07,0,344,344,344,2108,"16,32"
BANDARA CITA AMADANA HOTEL,Sepinggan,Balikpapan Selatan,Bintang 1,41,54,2024,07,0,0,0,0,1271,"0,00"
