No,nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,jan_wisman,jan_wisnus,feb_wisman,feb_wisnus,mar_wisman,mar_wisnus,apr_wisman,apr_wisnus,mei_wisman,mei_wisnus,jun_wisman,jun_wisnus,jul_wisman,jul_wisnus,ags_wisman,ags_wisnus,sep_wisman,sep_wisnus,okt_wisman,okt_wisnus,nov_wisman,nov_wisnus,des_wisman,des_wisnus,total_wisman,total_wisnus,total_wisatawan,jan_kmr,jan_pax,feb_kmr,feb_pax,mar_kmr,mar_pax,apr_kmr,apr_pax,mei_kmr,mei_pax,jun_kmr,jun_pax,jul_kmr,jul_pax,ags_kmr,ags_pax,sep_kmr,sep_pax,okt_kmr,okt_pax,nov_kmr,nov_pax,des_kmr,des_pax,kamar_terjual,total_malam_tamu,jan_rm_ava,jan_occ,feb_rm_ava,feb_occ,mar_rm_ava,mar_occ,apr_rm_ava,apr_occ,mei_rm_ava,mei_occ,jun_rm_ava,jun_occ,jul_rm_ava,jul_occ,ags_rm_ava,ags_occ,sep_rm_ava,sep_occ,okt_rm_ava,okt_occ,nov_rm_ava,nov_occ,des_rm_ava,des_occ,rata_rata_occ,tahun
38,FAVE HOTEL,Damai,Balikpapan Selatan,Bintang 3,112,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.472,"0,00",3.136,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00","0,00",2019
39,D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.511,"0,00",2.268,"0,00",2.511,"0,00",2.430,"0,00",2.511,"0,00",2.430,"0,00",2.511,"0,00",2.511,"0,00",2.430,"0,00",2.511,"0,00",2.430,"0,00",2.511,"0,00","0,00",2019
40,THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.023,"0,00",924,"0,00",1.023,"0,00",990,"0,00",1.023,"0,00",990,"0,00",1.023,"0,00",1.023,"0,00",990,"0,00",1.023,"0,00",990,"0,00",1.023,"0,00","0,00",2019
41,MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,115,174,20,1.291,23,1.277,38,1.440,19,1.392,29,1.271,31,1.326,33,1.464,15,1.471,16,1.450,29,1.455,31,1.446,22,1.471,306,16.754,17.060,  1.352 ,1.311,  1.297 ,1.300,  1.478 ,1.478,1411,1.411,1300,1.300,1357,1.357,1497,1.497,1486,1.486,1466,1.466,1484,1.484,1477,1.477,1493,1.493,17.098,17.060,3.565,"37,92",3.220,"40,28",3.565,"41,46",3.450,"40,90",3.565,"36,47",3.450,"39,33",3.565,"41,99",3.565,"41,68",3.450,"42,49",3.565,"41,63",3.450,"42,81",3.565,"41,88","40,74",2019
42,SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,35,42,0,2.618,0,2.404,0,2.886,0,2.496,0,2.128,0,2.426,0,2.528,0,2.598,0,2.718,0,2.790,0,2.704,0,2.746,0,31.042,31.042,  1.309 ,2.618,  1.202 ,2.404,  1.443 ,2.886,1248,2.496,1064,2.128,1213,2.426,1264,2.528,1299,2.598,1359,2.718,1395,2.790,1352,2.704,1373,2.746,15.521,31.042,1.085,"120,65",980,"122,65",1.085,"133,00",1.050,"118,86",1.085,"98,06",1.050,"115,52",1.085,"116,50",1.085,"119,72",1.050,"129,43",1.085,"128,57",1.050,"128,76",1.085,"126,54","121,52",2019
43,BUANA LESTARI HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,50,58,0,1.382,0,1.349,0,1.640,0,1.302,0,52,0,1.428,0,1.355,0,1.145,0,1.086,0,1.135,0,1.347,0,1.732,0,14.953,14.953,  872 ,1.382,  916 ,1.349,  1.074 ,1.640,839,1.302,34,52,931,1.428,889,1.355,746,1.145,715,1.086,749,1.135,888,1.347,2356,1.732,11.009,14.953,1.550,"56,26",1.400,"65,43",1.550,"69,29",1.500,"55,93",1.550,"2,19",1.500,"62,07",1.550,"57,35",1.550,"48,13",1.500,"47,67",1.550,"48,32",1.500,"59,20",1.550,"152,00","60,32",2019
44,SEPINGGAN HOTEL,Sepinggan Raya,Balikpapan Selatan,Bintang 2,101,119,4,524,7,657,10,826,9,786,6,860,3,743,15,892,9,904,16,819,19,830,11,921,10,1.004,119,9.766,9.885,  256 ,528,  296 ,664,  375 ,836,328,795,357,866,338,746,382,907,360,913,341,835,331,849,395,932,415,1.014,4.174,9.885,3.131,"8,18",2.828,"10,47",3.131,"11,98",3.030,"10,83",3.131,"11,40",3.030,"11,16",3.131,"12,20",3.131,"11,50",3.030,"11,25",3.131,"10,57",3.030,"13,04",3.131,"13,25","11,32",2019
45,HAAI HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,112,158,32,98,31,91,33,121,33,85,31,73,0,135,31,139,31,83,38,84,31,105,31,123,31,120,353,1.257,1.610,  130 ,130,  122 ,122,  154 ,154,118,118,104,104,170,135,101,170,114,114,122,122,136,136,154,154,151,151,1.576,1.610,3.472,"3,74",3.136,"3,89",3.472,"4,44",3.360,"3,51",3.472,"3,00",3.360,"5,06",3.472,"2,91",3.472,"3,28",3.360,"3,63",3.472,"3,92",3.360,"4,58",3.472,"4,35","3,86",2019
46,CITY HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 2,57,76,0,224,0,231,0,382,0,242,0,189,0,231,0,180,0,0,0,0,0,0,0,0,0,0,0,1.679,1.679,  224 ,224,  231 ,231,  382 ,382,242,242,189,189,231,231,180,180,1926,0,1979,0,0,0,0,0,0,0,5.584,1.679,1.767,"12,68",1.596,"14,47",1.767,"21,62",1.710,"14,15",1.767,"10,70",1.710,"13,51",1.767,"10,19",1.767,"109,00",1.710,"115,73",1.767,"0,00",1.710,"0,00",1.767,"0,00","26,84",2019
47,MUTIARA INDAH HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,38,40,0,1.058,0,981,0,2.380,0,2.092,0,1.474,0,1.740,0,1.770,0,1.812,0,1.786,0,2.016,0,1.976,0,2.406,0,21.491,21.491,  1.058 ,1.058,  981 ,981,  1.190 ,2.380,1046,2.092,737,1.474,870,1.740,885,1.770,906,1.812,893,1.786,1008,2.016,988,1.976,1203,2.406,11.765,21.491,1.178,"89,81",1.064,"92,20",1.178,"101,02",1.140,"91,75",1.178,"62,56",1.140,"76,32",1.178,"75,13",1.178,"76,91",1.140,"78,33",1.178,"85,57",1.140,"86,67",1.178,"102,12","84,87",2019
48,D'PRIMA MT HARYONO,Damai,Balikpapan Kota,Bintang 2,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.472,"0,00",3.136,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00","0,00",2019
49,AIQO,Klandasan Ilir,Balikpapan Kota,Bintang 1,51,57,0,145,0,154,0,206,0,128,0,126,0,154,0,194,0,171,0,166,0,188,0,197,0,0,0,1.829,1.829,  135 ,145,  142 ,154,  197 ,206,113,128,114,126,145,154,177,194,157,171,153,166,175,188,185,197,0,0,1.693,1.829,1.581,"8,54",1.428,"9,94",1.581,"12,46",1.530,"7,39",1.581,"7,21",1.530,"9,48",1.581,"11,20",1.581,"9,93",1.530,"10,00",1.581,"11,07",1.530,"12,09",1.581,"0,00","9,11",2019
50,BINTANG HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,68,68,0,96,0,110,0,156,0,85,0,62,0,137,0,93,0,0,0,0,0,0,0,0,0,0,0,739,739,  96 ,96,  110 ,110,  156 ,156,85,85,62,62,137,137,93,93,0,0,0,0,0,0,0,0,0,0,739,739,2.108,"4,55",1.904,"5,78",2.108,"7,40",2.040,"4,17",2.108,"2,94",2.040,"6,72",2.108,"4,41",2.108,"0,00",2.040,"0,00",2.108,"0,00",2.040,"0,00",2.108,"0,00","3,00",2019
51,BANDARA CITA AMADANA HOTEL,Sepinggan,Balikpapan Selatan,Bintang 1,41,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.271,"0,00",1.148,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00","0,00",2019
52,NUANSA INDAH HOTEL,Damai,Balikpapan Kota,Bintang 1,166,244,18,1.894,17,1.689,0,2.686,4,1.706,1,1.078,17,2.756,12,2.649,7,1.702,0,2.060,5,2.580,4,2.748,3,3.930,88,27.478,27.566,0,1.912,0,1.706,0,2.686,0,1.710,0,1.079,0,2.773,0,2.661,0,1.709,0,2.060,0,2.585,0,2.752,0,3.933,0,27.566,5.146,"0,00",4.648,"0,00",5.146,"0,00",4.980,"0,00",5.146,"0,00",4.980,"0,00",5.146,"0,00",5.146,"0,00",4.980,"0,00",5.146,"0,00",4.980,"0,00",5.146,"0,00","0,00",2019
53,HOTEL HERLY,Damai,Balikpapan Selatan,Bintang 1,35,45,0,  562 ,0,  668 ,0,  786 ,0,  560 ,0,  456 ,0,  588 ,0,  580 ,0,  578 ,0,  548 ,0,  574 ,0,  526 ,0,  750 ,0,  7.176 ,7.176,0,562,0,668,0,786,0,560,0,456,0,588,0,580,0,578,0,548,0,574,0,526,0,750,0,7.176,1.085,"0,00",980,"0,00",1.085,"0,00",1.050,"0,00",1.085,"0,00",1.050,"0,00",1.085,"0,00",1.085,"0,00",1.050,"0,00",1.085,"0,00",1.050,"0,00",1.085,"0,00","0,00",2019
54,BANDARA INTERNATIONAL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,41,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.271,"0,00",1.148,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00","0,00",2019
55,THE TANG HOTEL,Batu Ampar,Balikpapan Utara,Bintang 1,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.364,"0,00",1.232,"0,00",1.364,"0,00",1.320,"0,00",1.364,"0,00",1.320,"0,00",1.364,"0,00",1.364,"0,00",1.320,"0,00",1.364,"0,00",1.320,"0,00",1.364,"0,00","0,00",2019
56,KEMALA BEACH RESORT,Prapatan,Balikpapan Selatan,Bintang 1,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395,"0,00",1.260,"0,00",1.395,"0,00",1.350,"0,00",1.395,"0,00",1.350,"0,00",1.395,"0,00",1.395,"0,00",1.350,"0,00",1.395,"0,00",1.350,"0,00",1.395,"0,00","0,00",2019
57,J- ICON HIP HOTEL,Damai Bahagia,Balikpapan Selatan,Melati,30,30,6,836,10,738,34,1.120,18,809,2,668,4,1.184,7,815,5,744,3,706,15,777,7,780,2,1.372,113,10.549,10.662,  485 ,842,  381 ,748,  560 ,1.154,407,827,334,670,517,1.188,388,822,384,749,360,709,394,792,407,787,374,1.374,4.991,10.662,930,"52,15",840,"45,36",930,"60,22",900,"45,22",930,"35,91",900,"57,44",930,"41,72",930,"41,29",900,"40,00",930,"42,37",900,"45,22",930,"40,22","45,59",2019
58,SEJATI HOTEL,Damai,Balikpapan Selatan,Melati,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,"0,00",700,"0,00",775,"0,00",750,"0,00",775,"0,00",750,"0,00",775,"0,00",775,"0,00",750,"0,00",775,"0,00",750,"0,00",775,"0,00","0,00",2019
59,ATHAR 88,Sungai Nangka,Balikpapan Selatan,Melati,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.294,"0,00",2.072,"0,00",2.294,"0,00",2.220,"0,00",2.294,"0,00",2.220,"0,00",2.294,"0,00",2.294,"0,00",2.220,"0,00",2.294,"0,00",2.220,"0,00",2.294,"0,00","0,00",2019
60,CITRA RASA NUSANTARA,Klandasan Ilir,Balikpapan Selatan,Melati,78,123,0,178,2,196,0,204,0,145,0,185,0,188,0,210,0,175,0,180,0,167,0,178,0,225,0,2.231,2.231,  100 ,178,  102 ,198,  110 ,204,96,145,103,185,108,188,104,210,90,175,92,180,96,167,97,178,110,225,1.208,2.233,2.418,"4,14",2.184,"4,67",2.418,"4,55",2.340,"4,10",2.418,"4,26",2.340,"4,62",2.418,"4,30",2.418,"3,72",2.340,"3,93",2.418,"3,97",2.340,"4,15",2.418,"4,55","4,25",2019
61,ANDHIKA HOTEL,Marga Sari,Balikpapan Barat,Melati,17,29,0,222,0,226,0,220,0,228,0,196,0,236,0,218,0,210,234,0,0,210,0,246,0,246,234,2.458,2.692,  222 ,222,  113 ,226,  110 ,220,114,228,98,196,236,236,109,218,210,210,117,234,105,210,123,246,243,246,1.800,2.692,527,"42,13",476,"23,74",527,"20,87",510,"22,35",527,"18,60",510,"46,27",527,"20,68",527,"39,85",510,"22,94",527,"19,92",510,"24,12",527,"46,11","28,97",2019
62,MAHAKAM HOTEL,Karang Rejo,Balikpapan Tengah,Melati,31,37,0,196,0,226,0,176,0,254,0,163,0,321,0,231,0,283,0,267,0,327,0,319,0,350,0,3.113,3.113,  196 ,196,  226 ,226,  176 ,176,254,254,163,163,321,321,231,231,283,283,267,267,327,327,319,319,350,350,3.113,3.113,961,"20,40",868,"26,04",961,"18,31",930,"27,31",961,"16,96",930,"34,52",961,"24,04",961,"29,45",930,"28,71",961,"34,03",930,"34,30",961,"36,42","27,54",2019
63,GRAND SENYIUR HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,181,221,64,2.263,45,3.716,33,1.821,14,256,5,135,4,406,1,683,5,762,2,1.033,3,2.923,69,2.515,174,3.840,419,20.353,20.772,1.475,2.327,2.235,3.761,1.233,1.854,257,270,121,140,278,410,440,684,508,767,673,1.035,2.420,2.926,2.575,2.584,4.007,4.014,16.222,20.772,5.611,"26,29",5.068,"44,10",5.611,"21,97",5.430,"4,73",5.611,"2,16",5.430,"5,12",5.611,"7,84",5.611,"9,05",5.430,"12,39",5.611,"43,13",5.430,"47,42",5.611,"71,41","24,64",2020
64,NOVOTEL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,198,267,305,4.031,300,4.319,296,3.179,205,3.084,253,2.912,216,1.612,279,1.736,234,1.726,222,3.493,208,4.176,269,3.956,199,4.178,2.986,38.402,41.388,  4.031 ,4.336,  4.221 ,4.619,  3.179 ,3.475,  3.289 ,3.289,  3.144 ,3.165,  1.832 ,1.828,  2.074 ,2.015,  1.960 ,1.960,  3.715 ,3.715,  4.384 ,4.384,  4.225 ,4.225,  4.377 ,4.377,40.431,41.388,6.138,"65,67",5.544,"76,14",6.138,"51,79",5.940,"55,37",6.138,"51,22",5.940,"30,84",6.138,"33,79",6.138,"31,93",5.940,"62,54",6.138,"71,42",5.940,"71,13",6.138,"71,31","56,10",2020
65,GRAND JATRA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 5,215,296,275,3.441,296,7.000,0,0,0,0,0,0,0,904,0,1.645,0,2.257,3,2.479,40,3.139,29,3.840,37,5.413,680,30.118,30.798,  4.934 ,3.716,  5.092 ,7.296,0,0,0,0,0,0,  848 ,904,  1.585 ,1.645,  2.257 ,2.257,  2.480 ,2.482,  3.179 ,3.179,  4.189 ,3.869,  4.400 ,5.450,28.964,30.798,6.665,"74,03",6.020,"84,58",6.665,"0,00",6.450,"0,00",6.665,"0,00",6.450,"13,15",6.665,"23,78",6.665,"33,86",6.450,"38,45",6.665,"47,70",6.450,"64,95",6.665,"66,02","37,21",2020
66,FOUR POINS,Sepinggan Raya,Balikpapan Selatan,Bintang 4,138,168,127,1.935,298,1.949,95,2.139,6,806,47,1.413,7,1.601,4,1.573,4,2.244,35,2.870,27,3.306,13,3.209,9,3.702,672,26.747,27.419,2055,2.062,2243,2.247,1805,2.234,771,812,1318,1.460,1051,1.608,1212,1.577,1586,2.248,2516,2.905,3013,3.333,2962,3.222,3265,3.711,23.797,27.419,4.278,"48,04",3.864,"58,05",4.278,"42,19",4.140,"18,62",4.278,"30,81",4.140,"25,39",4.278,"28,33",4.278,"37,07",4.140,"60,77",4.278,"70,43",4.140,"71,55",4.278,"76,32","47,30",2020
67,PLATINUM HOTEL,Graha Indah,Balikpapan Utara,Bintang 4,200,312,437,3.397,275,5.610,108,3.886,150,4.237,31,1.022,30,2.046,34,4.588,116,2.667,165,3.468,208,4.568,354,7.862,506,7.668,2.414,51.019,53.433,2792,3.834,3080,5.885,2110,3.994,2611,4.387,2330,1.053,1053,2.076,3219,4.622,1676,2.783,1899,3.633,2488,4.776,4285,8.216,4340,8.174,31.883,53.433,6.200,"45,03",5.600,"55,00",6.200,"34,03",6.000,"43,52",6.200,"37,58",6.000,"17,55",6.200,"51,92",6.200,"27,03",6.000,"31,65",6.200,"40,13",6.000,"71,42",6.200,"70,00","43,74",2020
68,BLUE SKY,Marga Sari,Balikpapan Barat,Bintang 4,122,140,40,1.780,24,1.766,0,0,0,0,0,0,0,0,27,1.568,79,2.152,25,2.197,74,3.857,184,3.747,240,4.603,693,21.670,22.363,  2.400 ,1.820,  2.326 ,1.790,0,0,0,0,0,0,0,0,  1.218 ,1.595,  1.699 ,2.231,  1.882 ,2.222,  3.520 ,3.931,  3.047 ,3.931,  4.059 ,4.843,20.151,22.363,3.782,"63,46",3.416,"68,09",3.782,"0,00",3.660,"0,00",3.782,"0,00",3.660,"0,00",3.782,"32,21",3.782,"44,92",3.660,"51,42",3.782,"93,07",3.660,"83,25",3.782,"107,32","45,31",2020
69,PENTACITY HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,80,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.480,"0,00",2.240,"0,00",2.480,"0,00",2.400,"0,00",2.480,"0,00",2.400,"0,00",2.480,"0,00",2.480,"0,00",2.400,"0,00",2.480,"0,00",2.400,"0,00",2.480,"0,00","0,00",2020
70,GRAND TJKORO,Sepinggan Raya,Balikpapan Selatan,Bintang 4,148,224,131,4.632,162,5.485,99,3.479,2,1.176,4,1.002,15,1.894,17,1.896,16,2.403,72,2.682,379,3.635,98,3.998,231,4.541,1.226,36.823,38.049,  2.897 ,4.763,  3.556 ,5.647,  2.195 ,3.578,  848 ,1.178,  747 ,1.006,  1.403 ,1.909,  1.343 ,1.913,  1.676 ,2.419,  2.049 ,2.754,  3.048 ,4.014,  2.942 ,4.096,  3.274 ,4.772,25.978,38.049,4.588,"63,14",4.144,"85,81",4.588,"47,84",4.440,"19,10",4.588,"16,28",4.440,"31,60",4.588,"29,27",4.588,"36,53",4.440,"46,15",4.588,"66,43",4.440,"66,26",4.588,"71,36","48,32",2020
71,HORISON ULTIMA,Sepinggan,Balikpapan Selatan,Bintang 4,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.030,"0,00",3.640,"0,00",4.030,"0,00",3.900,"0,00",4.030,"0,00",3.900,"0,00",4.030,"0,00",4.030,"0,00",3.900,"0,00",4.030,"0,00",3.900,"0,00",4.030,"0,00","0,00",2020
72,GOLDEN TULIP HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,340,3.904,483,6.991,270,4.840,284,1.743,248,2.287,78,3.663,44,6.865,85,5.319,183,4.325,206,4.529,30,5.695,77,5.552,2.328,55.713,58.041,  3.334 ,4.244,  3.377 ,7.474,  2.279 ,5.110,  977 ,2.027,  1.069 ,2.535,  1.738 ,3.741,  2.757 ,6.909,  2.667 ,5.404,  3.016 ,4.508,  3.237 ,4.735,  2.922 ,5.725,  3.294 ,5.629,30.667,58.041,4.650,"71,70",4.200,"80,40",4.650,"49,01",4.500,"21,71",4.650,"22,99",4.500,"38,62",4.650,"59,29",4.650,"57,35",4.500,"67,02",4.650,"69,61",4.500,"64,93",4.650,"70,84","56,12",2020
73,SWISS BELL HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,230,350,63,3.045,38,3.215,0,1.017,23,394,34,1.481,31,507,26,528,0,1.338,0,1.797,0,0,0,0,0,1.520,215,14.842,15.057,3577,3.108,5201,3.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3761,1.520,12.539,7.881,7.130,"50,17",6.440,"80,76",7.130,"0,00",6.900,"0,00",7.130,"0,00",6.900,"0,00",7.130,"0,00",7.130,"0,00",6.900,"0,00",7.130,"0,00",6.900,"0,00",7.130,"52,75","15,31",2020
74,GRAND TIGA MUSTIKA HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 4,116,196,3,837,6,1.042,5,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.419,2.433,  394 ,840,  543 ,1.048,  235 ,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.172,2.433,3.596,"10,96",3.248,"16,72",3.596,"6,54",3.480,"0,00",3.596,"0,00",3.480,"0,00",3.596,"0,00",3.596,"0,00",3.480,"0,00",3.596,"0,00",3.480,"0,00",3.596,"0,00","2,85",2020
75,ASTARA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,663,673,24,6.654,22,6.927,28,3.535,0,1.369,0,1.482,0,2.219,2,2.531,4,2.696,7,3.110,9,5.542,6,6.021,6,7.701,108,49.787,49.895,  3.868 ,6.678,  4.427 ,6.949,  2.183 ,3.563,  603 ,1.369,  680 ,1.482,  1.009 ,2.219,  1.204 ,2.533,  1.256 ,2.700,  1.736 ,3.117,  3.641 ,5.551,  3.779 ,6.027,  4.438 ,7.707,28.824,49.895,20.553,"18,82",18.564,"23,85",20.553,"10,62",19.890,"3,03",20.553,"3,31",19.890,"5,07",20.553,"5,86",20.553,"6,11",19.890,"8,73",20.553,"17,72",19.890,"19,00",20.553,"21,59","11,98",2020
76,MENARA BAHTERA,Klandasan Ilir,Balikpapan Kota,Bintang 4,182,252,25,1.868,40,2.257,35,1.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5.683,5.783,  1.158 ,1.893,  1.331 ,2.297,  1.014 ,1.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.503,5.783,5.642,"20,52",5.096,"26,12",5.642,"17,97",5.460,"0,00",5.642,"0,00",5.460,"0,00",5.642,"0,00",5.642,"0,00",5.460,"0,00",5.642,"0,00",5.460,"0,00",5.642,"0,00","5,38",2020
77,THE NEW BENAKUTAI,Klandasan Ilir,Balikpapan Kota,Bintang 4,91,136,0,1.060,0,796,0,1.616,0,2.058,0,2.422,0,2.690,0,2.050,0,2.230,0,2.572,0,3.756,0,3.948,0,0,0,25.198,25.198,530,1.060,398,796,808,1.616,1029,2.058,1211,2.422,1345,2.690,1025,2.050,1115,2.230,1336,2.572,1878,3.756,1974,3.948,,0,12.649,25.198,2.821,"18,79",2.548,"15,62",2.821,"28,64",2.730,"37,69",2.821,"42,93",2.730,"49,27",2.821,"36,33",2.821,"39,52",2.730,"48,94",2.821,"66,57",2.730,"72,31",2.821,"0,00","38,05",2020
78,ANDHIKA BAHTERA HOTEL,Marga Sari,Balikpapan Barat,Bintang 3,155,205,49,3.510,33,3.596,40,1.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1.297,5,2.996,159,13.017,13.176,2064,3.559,1857,3.629,1002,1.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,1.329,1581,3.001,7.331,13.176,4.805,"42,96",4.340,"42,79",4.805,"20,85",4.650,"0,00",4.805,"0,00",4.650,"0,00",4.805,"0,00",4.805,"0,00",4.650,"0,00",4.805,"0,00",4.650,"17,78",4.805,"32,90","13,11",2020
79,GRAND TAN HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.650,"0,00",4.200,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00","0,00",2020
80,LE GRANDEUR HOTEL,DAMAI,Balikpapan Selatan,Bintang 4,185,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.735,"0,00",5.180,"0,00",5.735,"0,00",5.550,"0,00",5.735,"0,00",5.550,"0,00",5.735,"0,00",5.735,"0,00",5.550,"0,00",5.735,"0,00",5.550,"0,00",5.735,"0,00","0,00",2020
81,HER HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,154,200,0,1.397,0,1.550,0,0,0,0,0,0,0,1.144,0,1.282,0,1.077,0,1.955,0,1.735,0,824,0,1.966,0,12.930,12.930,  1.095 ,1.397,  1.269 ,1.550,0,0,0,0,0,0,  818 ,1.144,  970 ,1.282,  828 ,1.077,  1.757 ,1.955,  1.497 ,1.735,  945 ,824,  1.593 ,1.966,10.772,12.930,4.774,"22,94",4.312,"29,43",4.774,"0,00",4.620,"0,00",4.774,"0,00",4.620,"17,71",4.774,"20,32",4.774,"17,34",4.620,"38,03",4.774,"31,36",4.620,"20,45",4.774,"33,37","19,25",2020
