nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
ROYAL SUITE HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,30,43,2019,01,0,450,350,450,930,"37,63"
ADHIKA BAHTERA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,155,205,2019,01,0,222,621,222,4805,"12,92"
MIRAMA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,109,159,2019,01,2,1.320,675,1.322,3379,"19,98"
FAVE HOTEL,Damai,Balikpapan Selatan,Bintang 3,112,158,2019,01,0,0,0,0,3472,"0,00"
D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,2019,01,0,0,0,0,2511,"0,00"
THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,33,33,2019,01,0,0,0,0,1023,"0,00"
MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,50,58,2019,01,20,1.291,1.352,1.311,1550,"87,23"
SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,51,57,2019,01,0,2.618,1.309,2.618,1581,"82,80"
BUANA LESTARI HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,57,76,2019,01,0,1.382,872,1.382,1767,"49,35"
SEPINGGAN HOTEL,Sepinggan Raya,Balikpapan Selatan,Bintang 2,35,42,2019,01,4,524,256,528,1085,"23,59"
HAAI HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,38,40,2019,01,32,98,130,130,1178,"11,04"
CITY HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 2,73,73,2019,01,0,224,224,224,2263,"9,90"
MUTIARA INDAH HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,101,119,2019,01,0,1.058,1.058,1.058,3131,"33,79"
D'PRIMA MT HARYONO,Damai,Balikpapan Kota,Bintang 2,112,112,2019,01,0,0,0,0,3472,"0,00"
AIQO,Klandasan Ilir,Balikpapan Kota,Bintang 1,41,54,2019,01,0,145,135,145,1271,"10,62"
BINTANG HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,79,79,2019,01,0,96,96,96,2449,"3,92"
BANDARA CITA AMADANA HOTEL,Sepinggan,Balikpapan Selatan,Bintang 1,68,68,2019,01,0,0,0,0,2108,"0,00"
NUANSA INDAH HOTEL,Damai,Balikpapan Kota,Bintang 1,166,244,2019,01,18,1.894,0,1.912,5146,"0,00"
HOTEL HERLY,Damai,Balikpapan Selatan,Bintang 1,35,45,2019,01,0,562,0,562,1085,"0,00"
BANDARA INTERNATIONAL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,41,54,2019,01,0,0,0,0,1271,"0,00"
THE TANG HOTEL,Batu Ampar,Balikpapan Utara,Bintang 1,44,44,2019,01,0,0,0,0,1364,"0,00"
KEMALA BEACH RESORT,Prapatan,Balikpapan Selatan,Bintang 1,45,45,2019,01,0,0,0,0,1395,"0,00"
J- ICON HIP HOTEL,Damai Bahagia,Balikpapan Selatan,Melati,30,30,2019,01,6,836,485,842,930,"52,15"
SEJATI HOTEL,Damai,Balikpapan Selatan,Melati,11,13,2019,01,0,0,0,0,341,"0,00"
ATHAR 88,Sungai Nangka,Balikpapan Selatan,Melati,46,46,2019,01,0,0,0,0,1426,"0,00"
CITRA RASA NUSANTARA,Klandasan Ilir,Balikpapan Selatan,Melati,23,26,2019,01,0,178,100,178,713,"14,03"
ANDHIKA HOTEL,Marga Sari,Balikpapan Barat,Melati,42,42,2019,01,0,222,222,222,1302,"17,05"
MAHAKAM HOTEL,Karang Rejo,Balikpapan Tengah,Melati,25,27,2019,01,0,196,196,196,775,"25,29"
GRAND SENYIUR HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,181,221,2020,01,64,2.263,1.475,2.327,5611,"26,29"
NOVOTEL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,198,267,2020,01,305,4.031,4.031,4.336,6138,"65,67"
GRAND JATRA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 5,215,296,2020,01,275,3.441,4.934,3.716,6665,"74,03"
FOUR POINS,Sepinggan Raya,Balikpapan Selatan,Bintang 4,138,168,2020,01,127,1.935,2.055,2.062,4278,"48,04"
PLATINUM HOTEL,Graha Indah,Balikpapan Utara,Bintang 4,200,312,2020,01,437,3.397,2.792,3.834,6200,"45,03"
BLUE SKY,Marga Sari,Balikpapan Barat,Bintang 4,122,140,2020,01,40,1.780,2.400,1.820,3782,"63,46"
PENTACITY HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,80,90,2020,01,0,0,0,0,2480,"0,00"
GRAND TJKORO,Sepinggan Raya,Balikpapan Selatan,Bintang 4,148,224,2020,01,131,4.632,2.897,4.763,4588,"63,14"
HORISON ULTIMA,Sepinggan,Balikpapan Selatan,Bintang 4,130,130,2020,01,0,0,0,0,4030,"0,00"
GOLDEN TULIP HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2020,01,340,3.904,3.334,4.244,4650,"71,70"
SWISS BELL HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,230,350,2020,01,63,3.045,3.577,3.108,7130,"50,17"
GRAND TIGA MUSTIKA HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 4,116,196,2020,01,3,837,394,840,3596,"10,96"
ASTARA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,663,673,2020,01,24,6.654,3.868,6.678,20553,"18,82"
MENARA BAHTERA,Klandasan Ilir,Balikpapan Kota,Bintang 4,182,252,2020,01,25,1.868,1.158,1.893,5642,"20,52"
THE NEW BENAKUTAI,Klandasan Ilir,Balikpapan Kota,Bintang 4,91,136,2020,01,0,1.060,530,1.060,2821,"18,79"
GRAND TAN HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2020,01,0,0,0,0,4650,"0,00"
LE GRANDEUR HOTEL,DAMAI,Balikpapan Selatan,Bintang 4,185,200,2020,01,0,0,0,0,5735,"0,00"
HER HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,154,200,2020,01,0,1.397,1.095,1.397,4774,"22,94"
QUEST HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 3,99,143,2020,01,89,3.407,1.872,3.496,3069,"61,00"
NEO+ HOTEL,Gn. Sari Ulu,Balikpapan Tengah,Bintang 3,109,159,2020,01,66,3.897,2.170,3.963,3379,"64,22"
D'PRIMA HOTEL,Damai,Balikpapan Selatan,Bintang 3,73,73,2020,01,0,0,0,0,2263,"0,00"
PACIFIC HOTEL,Gn. sari Ilir,Balikpapan Tengah,Bintang 3,101,159,2020,01,8,1.517,1.073,1.525,3131,"34,27"
WHIZ PRIME HOTEL,Damai,Balikpapan Kota,Bintang 3,27,37,2020,01,29,5.020,2.840,5.049,837,"339,31"
BDI TOWN HOUSE,Gn. Bahagia,Balikpapan Selatan,Bintang 3,85,170,2020,01,43,879,465,922,2635,"17,65"
IBIS HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2020,01,59,3.655,3.655,3.714,4805,"76,07"
SWISS BELL INN,Damai,Balikpapan Kota,Bintang 3,98,98,2020,01,63,3.045,3.084,3.108,3038,"101,51"
ZURICH HOTEL,Damai,Balikpapan Kota,Bintang 3,166,166,2020,01,9,3.827,2.179,3.836,5146,"42,34"
MAX ONE,Damai,Balikpapan Selatan,Bintang 3,30,43,2020,01,30,6.090,3.140,6.120,930,"337,63"
HORISON SAGITA,Klandasan Ilir,Balikpapan Kota,Bintang 3,79,79,2020,01,3,2.203,1.731,2.206,2449,"70,68"
MEGA LESTARI HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2020,01,2,1.847,961,1.849,4805,"20,00"
BEST INN,Gn. Bahagia,Balikpapan Selatan,Bintang 3,53,72,2020,01,0,1.474,737,1.474,1643,"44,86"
THE STAR HILL,Damai Bahagia,Balikpapan Selatan,Bintang 3,133,197,2020,01,0,202,101,202,4123,"2,45"
ROYAL SUITE HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,112,172,2020,01,0,434,355,434,3472,"10,22"
ADHIKA BAHTERA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,155,205,2020,01,0,0,0,0,4805,"0,00"
MIRAMA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,108,173,2020,01,0,736,516,736,3348,"15,41"
FAVE HOTEL,Damai,Balikpapan Selatan,Bintang 2,73,73,2020,01,0,3.291,1.893,3.291,2263,"83,65"
D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,2020,01,0,0,0,0,2511,"0,00"
THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,33,33,2020,01,0,0,0,0,1023,"0,00"
MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,115,174,2020,01,15,1.277,1.292,1.292,3565,"36,24"
SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,35,42,2020,01,0,2.522,1.261,2.522,1085,"116,22"
